6101, 4001 6004 2 1 0;
6114, 4002 6007 2 -1 0;
6116, 4002 6005 2 0 0;
6121, 4002 6003 2 1 1;
6106, 4002 6000 2 1 1;
6107, 4002 6003 2 -1 0;
6117, 4002 6000 3 -1 1;
6105, 4002 6004 2 0 0;
6122, 4002 6001 2 0 0;
6120, 4002 5999 2 1 1;
6099, 4002 6002 2 -1 1;
6118, 4002 6000 2 0 0;
6098, 4002 5998 2 1 1;
6110, 4002 6001 2 -1 1;
6109, 4002 5999 2 0 0;
6044, 4002 5997 2 1 0;
